 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Ch,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
117,1,255,0,255,255,255,384.500,1692.500,384.500,1692.500,2.828,384,1692,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,1,384,1692,135.000,1.000,1.000,1.000,1.000
118,42,255,0,255,255,255,318.357,1733.810,318.357,1733.810,23.799,314,1730,8,8,7.420,7.207,51.238,0.932,8.544,10710,255,NaN,NaN,100,10710,1,317,1730,110.556,7.603,1.030,0.971,0.857
119,3,255,0,255,255,255,2.833,8.167,2.833,8.167,5.657,2,7,2,2,2.365,1.615,135.000,1.000,2.828,765,255,NaN,NaN,100,765,2,2,7,135.000,2.000,1.464,0.683,0.857
120,1,255,0,255,255,255,9.500,8.500,9.500,8.500,2.828,9,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,9,8,135.000,1.000,1.000,1.000,1.000
121,1,255,0,255,255,255,11.500,8.500,11.500,8.500,2.828,11,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,11,8,135.000,1.000,1.000,1.000,1.000
122,1,255,0,255,255,255,13.500,8.500,13.500,8.500,2.828,13,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,13,8,135.000,1.000,1.000,1.000,1.000
123,1,255,0,255,255,255,15.500,8.500,15.500,8.500,2.828,15,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,15,8,135.000,1.000,1.000,1.000,1.000
124,1,255,0,255,255,255,17.500,8.500,17.500,8.500,2.828,17,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,17,8,135.000,1.000,1.000,1.000,1.000
125,1,255,0,255,255,255,19.500,8.500,19.500,8.500,2.828,19,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,19,8,135.000,1.000,1.000,1.000,1.000
126,1,255,0,255,255,255,21.500,8.500,21.500,8.500,2.828,21,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,21,8,135.000,1.000,1.000,1.000,1.000
127,1,255,0,255,255,255,23.500,8.500,23.500,8.500,2.828,23,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,23,8,135.000,1.000,1.000,1.000,1.000
128,1,255,0,255,255,255,27.500,8.500,27.500,8.500,2.828,27,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,27,8,135.000,1.000,1.000,1.000,1.000
129,1,255,0,255,255,255,31.500,8.500,31.500,8.500,2.828,31,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,31,8,135.000,1.000,1.000,1.000,1.000
130,1,255,0,255,255,255,33.500,8.500,33.500,8.500,2.828,33,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,33,8,135.000,1.000,1.000,1.000,1.000
131,1,255,0,255,255,255,35.500,8.500,35.500,8.500,2.828,35,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,35,8,135.000,1.000,1.000,1.000,1.000
132,1,255,0,255,255,255,37.500,8.500,37.500,8.500,2.828,37,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,37,8,135.000,1.000,1.000,1.000,1.000
133,1,255,0,255,255,255,45.500,8.500,45.500,8.500,2.828,45,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,45,8,135.000,1.000,1.000,1.000,1.000
134,1,255,0,255,255,255,47.500,8.500,47.500,8.500,2.828,47,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,47,8,135.000,1.000,1.000,1.000,1.000
135,1,255,0,255,255,255,49.500,8.500,49.500,8.500,2.828,49,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,49,8,135.000,1.000,1.000,1.000,1.000
136,1,255,0,255,255,255,51.500,8.500,51.500,8.500,2.828,51,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,51,8,135.000,1.000,1.000,1.000,1.000
137,1,255,0,255,255,255,53.500,8.500,53.500,8.500,2.828,53,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,53,8,135.000,1.000,1.000,1.000,1.000
138,1,255,0,255,255,255,55.500,8.500,55.500,8.500,2.828,55,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,55,8,135.000,1.000,1.000,1.000,1.000
139,1,255,0,255,255,255,59.500,8.500,59.500,8.500,2.828,59,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,59,8,135.000,1.000,1.000,1.000,1.000
140,1,255,0,255,255,255,65.500,8.500,65.500,8.500,2.828,65,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,65,8,135.000,1.000,1.000,1.000,1.000
141,1,255,0,255,255,255,77.500,8.500,77.500,8.500,2.828,77,8,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,77,8,135.000,1.000,1.000,1.000,1.000
